2024-01-15 20:10:53,944 - s
2024-01-15 20:10:54,307 - s
2024-01-15 20:10:54,546 - s
2024-01-15 20:10:54,755 - s
2024-01-15 20:10:55,426 - s
2024-01-15 20:10:55,496 - s
2024-01-15 20:10:55,654 - s
2024-01-15 20:10:55,749 - s
2024-01-15 20:10:56,298 - s
2024-01-15 20:10:56,733 - s
2024-01-15 20:10:56,933 - s
2024-01-15 20:10:57,011 - s
2024-01-15 20:10:57,141 - s
2024-01-15 20:10:57,195 - s
2024-01-15 20:10:57,753 - s
2024-01-15 20:10:57,842 - s
2024-01-15 20:10:58,499 - ctrl
2024-01-15 20:10:58,586 - a
2024-01-15 20:10:58,722 - a
2024-01-15 20:10:58,760 - ctrl
2024-01-15 20:10:58,874 - backspace
2024-01-15 20:10:58,923 - backspace
2024-01-15 20:11:00,345 - space
2024-01-15 20:11:00,481 - space
2024-01-15 20:11:00,837 - space
2024-01-15 20:11:01,339 - space
2024-01-15 20:11:01,386 - space
2024-01-15 20:11:01,408 - space
2024-01-15 20:11:01,449 - space
2024-01-15 20:11:01,483 - space
2024-01-15 20:11:01,515 - space
2024-01-15 20:11:01,547 - space
2024-01-15 20:11:01,596 - space
2024-01-15 20:11:01,614 - space
2024-01-15 20:11:01,637 - space
2024-01-15 20:11:01,677 - space
2024-01-15 20:11:01,716 - space
2024-01-15 20:11:01,738 - space
2024-01-15 20:11:01,785 - space
2024-01-15 20:11:01,802 - space
2024-01-15 20:11:01,852 - space
2024-01-15 20:11:01,876 - space
2024-01-15 20:11:01,913 - space
2024-01-15 20:11:01,930 - space
2024-01-15 20:11:02,233 - w
2024-01-15 20:11:02,402 - w
2024-01-15 20:11:02,425 - h
2024-01-15 20:11:02,481 - a
2024-01-15 20:11:02,497 - h
2024-01-15 20:11:02,626 - a
2024-01-15 20:11:02,643 - t
2024-01-15 20:11:02,665 - space
2024-01-15 20:11:02,717 - t
2024-01-15 20:11:02,802 - space
2024-01-15 20:11:02,836 - t
2024-01-15 20:11:02,878 - h
2024-01-15 20:11:02,923 - t
2024-01-15 20:11:02,968 - h
2024-01-15 20:11:02,983 - e
2024-01-15 20:11:03,062 - e
2024-01-15 20:11:03,107 - space
2024-01-15 20:11:03,214 - space
2024-01-15 20:11:03,830 - h
2024-01-15 20:11:03,846 - e
2024-01-15 20:11:03,895 - h
2024-01-15 20:11:03,953 - c
2024-01-15 20:11:03,977 - e
2024-01-15 20:11:04,066 - c
2024-01-15 20:11:04,081 - k
2024-01-15 20:11:04,138 - k
